country,city,occupation,field,years_of_experience,salary,employment_type,education_level,gender,company_size,year,month
Italy,Milan,Data Scientist,Technology,7,257806.0,internship,Bachelor,Female,Enterprise,2025,4
United Kingdom,London,Financial Analyst,Finance,16,177169.0,freelance,High School,Male,Large,2023,6
Singapore,Singapore,Data Analyst,Technology,3,213781.0,internship,Bachelor,Male,Large,2024,8
South Africa,Cape Town,HR Analyst,Human Resources,8,113708.0,internship,PhD,Other,Medium,2025,2
United States,San Francisco,Data Analyst,Technology,17,183524.0,work_from_home,High School,Female,Large,2024,4
South Africa,Cape Town,Data Analyst,Technology,14,125442.0,internship,Master,Female,Enterprise,2024,11
Australia,Sydney,Data Scientist,Technology,11,287182.0,work_from_home,PhD,Other,Enterprise,2024,12
Netherlands,Amsterdam,Financial Analyst,Finance,7,220193.0,full_time,Master,Other,Enterprise,2024,4
India,Bangalore,Product Manager,Technology,3,83977.0,part_time,Master,Other,Large,2025,11
South Africa,Cape Town,Marketing Specialist,Marketing,16,130874.0,full_time,PhD,Male,Medium,2023,2
Spain,Madrid,Product Manager,Technology,20,217846.0,internship,High School,Female,Medium,2022,4
France,Paris,Software Engineer,Technology,20,320695.0,internship,Master,Female,Enterprise,2022,2
Canada,Toronto,Software Engineer,Technology,0,20253.0,internship,PhD,Other,Medium,2022,2
Singapore,Singapore,Data Scientist,Technology,5,370000.0,internship,PhD,Other,Enterprise,2024,5
Sweden,Stockholm,Data Scientist,Technology,17,264899.0,work_from_home,High School,Female,Large,2025,2
Sweden,Stockholm,UX Designer,Design,4,193183.0,internship,Master,Other,Large,2022,4
South Africa,Cape Town,AI Engineer,Technology,8,135153.0,full_time,High School,Female,Enterprise,2025,3
United Arab Emirates,Dubai,Financial Analyst,Finance,3,348201.0,part_time,High School,Female,Enterprise,2022,9
Spain,Madrid,AI Engineer,Technology,9,286269.0,full_time,PhD,Female,Large,2022,1
Italy,Milan,Software Engineer,Technology,5,206130.0,work_from_home,Master,Other,Enterprise,2023,10
Brazil,Sao Paulo,Operations Manager,Operations,14,150815.0,full_time,High School,Other,Large,2025,5
France,Paris,Data Analyst,Technology,13,142663.0,freelance,Bachelor,Male,Small,2022,9
Netherlands,Amsterdam,UX Designer,Design,19,197437.0,internship,High School,Other,Large,2024,1
Mexico,Mexico City,Software Engineer,Technology,4,161376.0,freelance,PhD,Female,Small,2025,11
Sweden,Stockholm,Financial Analyst,Finance,22,227419.0,work_from_home,Bachelor,Male,Small,2024,1
India,Bangalore,Operations Manager,Operations,3,73150.0,freelance,PhD,Female,Small,2022,10
United Kingdom,London,Product Manager,Technology,11,226213.0,freelance,High School,Other,Large,2023,11
Ireland,Dublin,UX Designer,Design,20,193283.0,internship,High School,Female,Large,2024,11
Singapore,Singapore,Business Analyst,Business,20,264033.0,part_time,PhD,Other,Small,2024,9
France,Paris,Financial Analyst,Finance,13,173715.0,internship,Bachelor,Female,Small,2024,2
South Africa,Cape Town,Software Engineer,Technology,3,89220.0,freelance,High School,Other,Medium,2024,2
Spain,Madrid,AI Engineer,Technology,4,200199.0,work_from_home,Bachelor,Other,Small,2024,10
Italy,Milan,Operations Manager,Operations,16,169328.0,internship,Bachelor,Male,Small,2025,8
Brazil,Sao Paulo,Business Analyst,Business,17,96177.0,full_time,Master,Male,Small,2022,7
Sweden,Stockholm,Financial Analyst,Finance,8,204093.0,part_time,Master,Other,Small,2025,6
France,Paris,AI Engineer,Technology,23,356781.0,full_time,PhD,Other,Large,2025,8
France,Paris,Business Analyst,Business,10,103829.0,internship,High School,Other,Small,2023,5
United Kingdom,London,Operations Manager,Operations,11,269960.0,internship,Master,Male,Small,2025,9
France,Paris,Marketing Specialist,Marketing,2,164908.0,internship,PhD,Female,Large,2025,7
Canada,Toronto,UX Designer,Design,2,106189.0,freelance,High School,Female,Small,2022,7
Spain,Madrid,Data Analyst,Technology,10,109244.0,full_time,High School,Female,Medium,2024,2
Canada,Toronto,AI Engineer,Technology,4,313573.0,work_from_home,Bachelor,Male,Enterprise,2024,12
Singapore,Singapore,Cloud Engineer,Technology,20,246383.0,full_time,Bachelor,Female,Small,2024,2
New Zealand,Auckland,Product Manager,Technology,16,221604.0,freelance,High School,Other,Medium,2023,1
Singapore,Singapore,AI Engineer,Technology,8,207657.0,work_from_home,Bachelor,Male,Small,2025,12
Sweden,Stockholm,Business Analyst,Business,6,240631.0,full_time,PhD,Female,Large,2025,4
Germany,Berlin,Marketing Specialist,Marketing,9,157558.0,work_from_home,High School,Other,Enterprise,2022,6
Japan,Tokyo,Business Analyst,Business,18,267737.0,full_time,Master,Female,Medium,2025,11
Switzerland,Zurich,Marketing Specialist,Marketing,10,229913.0,internship,High School,Female,Large,2025,6
United States,San Francisco,Marketing Specialist,Marketing,7,167463.0,part_time,Master,Male,Medium,2024,3
Italy,Milan,Cloud Engineer,Technology,7,134213.0,part_time,High School,Other,Medium,2023,7
Canada,Toronto,Operations Manager,Operations,17,223344.0,work_from_home,Bachelor,Female,Small,2023,8
New Zealand,Auckland,UX Designer,Design,20,194447.0,internship,High School,Female,Enterprise,2024,6
France,Paris,Data Scientist,Technology,22,214130.0,full_time,High School,Female,Medium,2023,2
United Arab Emirates,Dubai,Financial Analyst,Finance,1,223055.0,part_time,Master,Female,Large,2023,7
Spain,Madrid,Financial Analyst,Finance,15,217701.0,part_time,Bachelor,Female,Medium,2025,4
France,Paris,Operations Manager,Operations,8,206202.0,work_from_home,Master,Female,Small,2022,6
South Africa,Cape Town,Data Analyst,Technology,20,92887.0,full_time,Bachelor,Female,Small,2024,6
Switzerland,Zurich,HR Analyst,Human Resources,21,321330.0,part_time,PhD,Female,Medium,2022,1
United States,San Francisco,Product Manager,Technology,23,345157.0,internship,PhD,Male,Enterprise,2022,1
United States,San Francisco,Data Analyst,Technology,11,257417.0,work_from_home,PhD,Male,Medium,2024,7
United Arab Emirates,Dubai,Data Analyst,Technology,19,260473.0,work_from_home,Bachelor,Male,Enterprise,2024,6
New Zealand,Auckland,Marketing Specialist,Marketing,8,149133.0,work_from_home,Master,Male,Small,2022,3
Ireland,Dublin,Operations Manager,Operations,19,318725.0,full_time,PhD,Male,Enterprise,2025,12
Switzerland,Zurich,Data Analyst,Technology,1,173021.0,work_from_home,High School,Other,Enterprise,2024,11
France,Paris,Product Manager,Technology,3,277933.0,work_from_home,PhD,Male,Large,2025,7
Japan,Tokyo,Financial Analyst,Finance,6,255027.0,work_from_home,PhD,Other,Medium,2025,9
Italy,Milan,Operations Manager,Operations,7,147549.0,freelance,High School,Female,Small,2022,1
Germany,Berlin,Operations Manager,Operations,18,180822.0,work_from_home,High School,Male,Medium,2024,11
Ireland,Dublin,Financial Analyst,Finance,18,217875.0,part_time,Master,Other,Small,2023,8
Brazil,Sao Paulo,HR Analyst,Human Resources,20,144882.0,full_time,PhD,Female,Medium,2025,4
Mexico,Mexico City,HR Analyst,Human Resources,14,132874.0,work_from_home,PhD,Male,Enterprise,2023,8
South Africa,Cape Town,Financial Analyst,Finance,23,155125.0,freelance,Master,Female,Large,2024,11
Canada,Toronto,Financial Analyst,Finance,13,232142.0,freelance,High School,Male,Enterprise,2022,1
Italy,Milan,UX Designer,Design,18,277092.0,work_from_home,PhD,Female,Enterprise,2023,6
United Kingdom,London,HR Analyst,Human Resources,9,156531.0,part_time,Bachelor,Female,Large,2022,6
Japan,Tokyo,Data Analyst,Technology,18,172174.0,work_from_home,Master,Other,Small,2025,9
United Kingdom,London,Marketing Specialist,Marketing,0,95162.0,work_from_home,Bachelor,Female,Large,2025,10
France,Paris,Marketing Specialist,Marketing,14,123264.0,part_time,Bachelor,Other,Medium,2025,5
United Kingdom,London,Data Analyst,Technology,5,113688.0,full_time,High School,Male,Small,2024,5
Singapore,Singapore,Product Manager,Technology,20,362243.0,work_from_home,PhD,Male,Large,2023,5
United Arab Emirates,Dubai,HR Analyst,Human Resources,19,232082.0,part_time,Master,Male,Enterprise,2022,10
Italy,Milan,Business Analyst,Business,24,180967.0,freelance,High School,Female,Medium,2023,12
Spain,Madrid,Marketing Specialist,Marketing,21,201799.0,full_time,Bachelor,Other,Enterprise,2024,2
Ireland,Dublin,Financial Analyst,Finance,20,211021.0,freelance,Master,Male,Small,2022,9
Italy,Milan,Operations Manager,Operations,5,140852.0,internship,Master,Other,Small,2024,11
Singapore,Singapore,Business Analyst,Business,20,239508.0,work_from_home,High School,Other,Medium,2025,8
Canada,Toronto,Financial Analyst,Finance,18,299105.0,freelance,PhD,Female,Large,2025,1
Australia,Sydney,Business Analyst,Business,7,245527.0,internship,Master,Male,Large,2023,9
France,Paris,Software Engineer,Technology,19,238247.0,freelance,Bachelor,Female,Medium,2025,6
United Kingdom,London,Financial Analyst,Finance,5,242075.0,part_time,Bachelor,Female,Enterprise,2022,6
South Africa,Cape Town,Cloud Engineer,Technology,6,115341.0,full_time,High School,Other,Enterprise,2023,4
India,Bangalore,Product Manager,Technology,7,77951.0,part_time,Bachelor,Male,Small,2024,8
Spain,Madrid,Marketing Specialist,Marketing,2,117361.0,internship,Bachelor,Other,Enterprise,2024,3
Japan,Tokyo,AI Engineer,Technology,20,195439.0,full_time,High School,Other,Small,2022,3
United Kingdom,London,Marketing Specialist,Marketing,25,196856.0,part_time,Master,Male,Medium,2025,2
Germany,Berlin,HR Analyst,Human Resources,9,165630.0,full_time,PhD,Female,Small,2024,7
United States,New York,Data Analyst,Technology,19,360012.0,freelance,Bachelor,Male,Small,2023,7
Germany,Berlin,Financial Analyst,Finance,11,270094.0,work_from_home,Bachelor,Other,Large,2025,6
Spain,Madrid,UX Designer,Design,25,283019.0,part_time,PhD,Male,Large,2025,9
Switzerland,Zurich,AI Engineer,Technology,24,370000.0,work_from_home,Bachelor,Female,Enterprise,2025,5
South Africa,Cape Town,Operations Manager,Operations,15,160396.0,internship,Master,Male,Enterprise,2023,10
Canada,Toronto,UX Designer,Design,5,167806.0,work_from_home,High School,Female,Medium,2025,6
United States,New York,AI Engineer,Technology,13,348018.0,internship,PhD,Male,Large,2022,6
Spain,Madrid,Marketing Specialist,Marketing,12,178129.0,part_time,Master,Male,Large,2025,3
Canada,Toronto,Financial Analyst,Finance,4,137265.0,work_from_home,Bachelor,Female,Medium,2022,11
Italy,Milan,Cloud Engineer,Technology,24,270662.0,internship,PhD,Male,Small,2023,2
Mexico,Mexico City,Operations Manager,Operations,10,136410.0,part_time,Master,Other,Small,2025,6
France,Paris,Cloud Engineer,Technology,16,190141.0,full_time,High School,Male,Small,2024,3
South Africa,Cape Town,Cloud Engineer,Technology,20,120313.0,part_time,Bachelor,Male,Medium,2022,11
South Korea,Seoul,Cloud Engineer,Technology,19,299176.0,part_time,PhD,Female,Large,2022,6
Italy,Milan,AI Engineer,Technology,1,123822.0,full_time,Bachelor,Male,Small,2024,2
Germany,Berlin,UX Designer,Design,25,242874.0,internship,Bachelor,Female,Enterprise,2023,6
Brazil,Sao Paulo,Software Engineer,Technology,14,165707.0,part_time,Master,Female,Large,2022,10
India,Bangalore,Cloud Engineer,Technology,6,87285.0,work_from_home,Master,Female,Small,2025,1
Japan,Tokyo,AI Engineer,Technology,14,173808.0,part_time,High School,Female,Small,2022,10
Australia,Sydney,HR Analyst,Human Resources,12,191136.0,work_from_home,Master,Female,Enterprise,2024,4
United Arab Emirates,Dubai,Cloud Engineer,Technology,3,258022.0,freelance,PhD,Other,Medium,2022,5
United States,New York,HR Analyst,Human Resources,6,135334.0,full_time,High School,Male,Small,2024,12
Brazil,Sao Paulo,Software Engineer,Technology,16,182053.0,work_from_home,Bachelor,Other,Large,2022,12
Germany,Berlin,Data Scientist,Technology,15,328564.0,internship,PhD,Male,Medium,2022,11
Switzerland,Zurich,Cloud Engineer,Technology,19,341542.0,part_time,PhD,Other,Medium,2022,11
United States,New York,Marketing Specialist,Marketing,16,329116.0,work_from_home,Master,Other,Enterprise,2022,6
United Arab Emirates,Dubai,Data Analyst,Technology,15,177469.0,part_time,High School,Other,Enterprise,2022,12
United States,New York,Product Manager,Technology,21,362083.0,internship,Master,Other,Large,2023,11
United States,San Francisco,Marketing Specialist,Marketing,19,180697.0,work_from_home,Master,Female,Medium,2025,4
South Korea,Seoul,Financial Analyst,Finance,4,165414.0,work_from_home,PhD,Male,Medium,2024,3
New Zealand,Auckland,UX Designer,Design,5,132929.0,part_time,Bachelor,Other,Large,2024,6
France,Paris,Software Engineer,Technology,6,240948.0,freelance,Master,Other,Large,2025,12
Canada,Toronto,Business Analyst,Business,12,176976.0,part_time,Bachelor,Other,Small,2025,2
Italy,Milan,Cloud Engineer,Technology,21,280309.0,full_time,PhD,Male,Medium,2023,11
New Zealand,Auckland,Software Engineer,Technology,18,275094.0,full_time,Master,Female,Large,2024,6
Sweden,Stockholm,AI Engineer,Technology,4,299966.0,internship,Master,Male,Large,2023,4
United Kingdom,London,HR Analyst,Human Resources,13,155839.0,internship,High School,Other,Enterprise,2023,5
South Africa,Cape Town,AI Engineer,Technology,13,157799.0,freelance,Bachelor,Other,Medium,2022,3
Netherlands,Amsterdam,Data Analyst,Technology,0,89593.0,full_time,PhD,Other,Small,2023,3
France,Paris,Marketing Specialist,Marketing,22,260552.0,work_from_home,Master,Female,Enterprise,2025,2
Japan,Tokyo,Operations Manager,Operations,19,197029.0,freelance,Bachelor,Male,Medium,2022,10
Mexico,Mexico City,UX Designer,Design,16,164690.0,full_time,Master,Female,Enterprise,2024,9
Japan,Tokyo,Product Manager,Technology,1,161805.0,work_from_home,High School,Female,Enterprise,2025,8
Australia,Sydney,Cloud Engineer,Technology,22,348362.0,work_from_home,Bachelor,Female,Large,2025,8
Mexico,Mexico City,Cloud Engineer,Technology,2,110055.0,internship,Master,Female,Small,2024,5
United States,San Francisco,HR Analyst,Human Resources,7,179876.0,work_from_home,Master,Other,Small,2025,6
Canada,Toronto,Operations Manager,Operations,7,269471.0,internship,Master,Male,Enterprise,2022,10
Brazil,Sao Paulo,Business Analyst,Business,20,298509.0,freelance,PhD,Male,Enterprise,2025,3
Italy,Milan,Financial Analyst,Finance,17,274447.0,work_from_home,Master,Male,Large,2025,12
South Africa,Cape Town,HR Analyst,Human Resources,22,83251.0,internship,PhD,Female,Small,2024,10
Ireland,Dublin,Data Analyst,Technology,0,75701.0,full_time,PhD,Female,Medium,2022,6
Canada,Toronto,Cloud Engineer,Technology,14,192518.0,work_from_home,High School,Male,Medium,2022,9
Italy,Milan,AI Engineer,Technology,8,232482.0,freelance,Bachelor,Male,Medium,2025,2
Netherlands,Amsterdam,Business Analyst,Business,1,79175.0,freelance,High School,Female,Small,2024,8
France,Paris,Cloud Engineer,Technology,23,310680.0,full_time,Master,Other,Enterprise,2025,12
Ireland,Dublin,Operations Manager,Operations,9,298251.0,work_from_home,PhD,Female,Large,2024,2
United States,San Francisco,Financial Analyst,Finance,17,328752.0,internship,Master,Male,Large,2022,5
Spain,Madrid,Product Manager,Technology,7,155990.0,part_time,Bachelor,Other,Medium,2023,2
Italy,Milan,Data Scientist,Technology,0,104499.0,full_time,Master,Female,Small,2022,7
United States,San Francisco,Data Analyst,Technology,13,244016.0,work_from_home,Master,Female,Small,2024,5
United States,New York,Operations Manager,Operations,12,353639.0,internship,PhD,Male,Large,2024,12
Spain,Madrid,UX Designer,Design,14,274710.0,freelance,PhD,Female,Enterprise,2024,12
Brazil,Sao Paulo,Software Engineer,Technology,11,86226.0,internship,High School,Other,Small,2023,7
United States,New York,Operations Manager,Operations,22,370000.0,internship,Master,Male,Medium,2025,1
Switzerland,Zurich,Operations Manager,Operations,17,370000.0,freelance,High School,Male,Enterprise,2025,8
United Arab Emirates,Dubai,Product Manager,Technology,3,364968.0,work_from_home,PhD,Male,Enterprise,2024,9
India,Bangalore,Financial Analyst,Finance,18,124742.0,work_from_home,Bachelor,Other,Large,2024,8
Mexico,Mexico City,HR Analyst,Human Resources,19,95595.0,internship,High School,Other,Large,2024,2
Canada,Toronto,Financial Analyst,Finance,16,143089.0,internship,High School,Female,Small,2023,10
United States,New York,Operations Manager,Operations,2,236204.0,internship,Master,Male,Enterprise,2022,11
India,Bangalore,Data Analyst,Technology,13,123667.0,part_time,PhD,Other,Enterprise,2023,5
Spain,Madrid,Operations Manager,Operations,25,335586.0,part_time,Master,Male,Enterprise,2022,1
United Arab Emirates,Dubai,Data Analyst,Technology,10,154221.0,freelance,High School,Female,Small,2022,11
Sweden,Stockholm,Software Engineer,Technology,0,135938.0,full_time,Bachelor,Male,Large,2023,5
United States,San Francisco,Data Scientist,Technology,8,282111.0,part_time,Master,Male,Small,2023,5
Spain,Madrid,Data Scientist,Technology,25,217282.0,part_time,High School,Female,Large,2022,6
South Africa,Cape Town,Business Analyst,Business,3,112462.0,part_time,Master,Other,Enterprise,2023,10
Canada,Toronto,Operations Manager,Operations,12,206521.0,full_time,Master,Other,Medium,2022,8
Canada,Toronto,Data Analyst,Technology,20,202219.0,work_from_home,Master,Female,Medium,2024,4
Australia,Sydney,Software Engineer,Technology,17,290984.0,part_time,Master,Other,Small,2024,7
Singapore,Singapore,Product Manager,Technology,2,166612.0,full_time,Bachelor,Other,Small,2024,1
Japan,Tokyo,Cloud Engineer,Technology,2,260840.0,work_from_home,PhD,Female,Large,2025,4
Germany,Berlin,Operations Manager,Operations,20,370000.0,freelance,PhD,Male,Enterprise,2024,3
Singapore,Singapore,HR Analyst,Human Resources,9,176006.0,freelance,Master,Female,Medium,2022,6
Sweden,Stockholm,Product Manager,Technology,6,174182.0,part_time,High School,Male,Medium,2023,7
New Zealand,Auckland,Product Manager,Technology,10,263892.0,freelance,PhD,Male,Small,2023,4
Australia,Sydney,HR Analyst,Human Resources,18,156427.0,internship,Master,Female,Medium,2024,4
United Kingdom,London,Marketing Specialist,Marketing,4,142529.0,internship,Bachelor,Other,Medium,2023,8
New Zealand,Auckland,Financial Analyst,Finance,3,127055.0,work_from_home,PhD,Other,Medium,2024,4
United Arab Emirates,Dubai,Financial Analyst,Finance,9,282434.0,internship,Master,Other,Small,2024,2
Brazil,Sao Paulo,Software Engineer,Technology,14,161868.0,work_from_home,Master,Male,Enterprise,2025,12
Canada,Toronto,Business Analyst,Business,5,226819.0,internship,PhD,Other,Small,2024,1
India,Bangalore,Business Analyst,Business,10,84084.0,freelance,Master,Other,Small,2025,7
France,Paris,Marketing Specialist,Marketing,25,115691.0,freelance,High School,Female,Small,2022,1
Singapore,Singapore,Data Analyst,Technology,10,240946.0,work_from_home,PhD,Other,Small,2022,2
Australia,Sydney,Cloud Engineer,Technology,3,353223.0,full_time,PhD,Female,Enterprise,2024,12
Singapore,Singapore,Product Manager,Technology,1,207366.0,part_time,PhD,Female,Small,2025,11
India,Bangalore,HR Analyst,Human Resources,3,60171.0,work_from_home,Bachelor,Other,Enterprise,2022,9
Switzerland,Zurich,AI Engineer,Technology,6,355285.0,freelance,Bachelor,Female,Large,2024,12
United Kingdom,London,Operations Manager,Operations,15,343281.0,internship,PhD,Male,Enterprise,2022,2
Germany,Berlin,Software Engineer,Technology,22,311025.0,part_time,Master,Female,Large,2023,1
Switzerland,Zurich,Operations Manager,Operations,8,370000.0,full_time,PhD,Female,Enterprise,2025,5
South Africa,Cape Town,UX Designer,Design,20,69002.0,freelance,High School,Female,Enterprise,2022,2
Germany,Berlin,UX Designer,Design,24,288189.0,part_time,Master,Other,Large,2023,1
Japan,Tokyo,Business Analyst,Business,9,193224.0,full_time,Master,Other,Medium,2023,2
Italy,Milan,AI Engineer,Technology,6,180431.0,full_time,Bachelor,Male,Medium,2024,5
India,Bangalore,Data Analyst,Technology,5,126417.0,freelance,PhD,Male,Enterprise,2024,10
United States,San Francisco,Product Manager,Technology,18,365346.0,part_time,High School,Other,Enterprise,2025,11
United States,New York,Operations Manager,Operations,3,345661.0,freelance,PhD,Female,Enterprise,2025,9
Australia,Sydney,Data Analyst,Technology,12,199759.0,full_time,Bachelor,Male,Medium,2022,3
India,Bangalore,Cloud Engineer,Technology,9,133565.0,internship,PhD,Other,Enterprise,2024,10
Brazil,Sao Paulo,HR Analyst,Human Resources,14,108367.0,part_time,PhD,Female,Medium,2024,9
South Africa,Cape Town,Marketing Specialist,Marketing,19,64478.0,freelance,High School,Male,Small,2024,9
Spain,Madrid,Data Analyst,Technology,8,174787.0,work_from_home,Master,Female,Large,2023,5
Mexico,Mexico City,Cloud Engineer,Technology,18,182514.0,internship,Bachelor,Female,Large,2022,2
Spain,Madrid,Cloud Engineer,Technology,11,188258.0,internship,Bachelor,Male,Small,2023,1
Canada,Toronto,HR Analyst,Human Resources,19,165728.0,full_time,High School,Other,Large,2024,10
Japan,Tokyo,Operations Manager,Operations,23,238825.0,part_time,Bachelor,Female,Enterprise,2023,10
Sweden,Stockholm,HR Analyst,Human Resources,3,161945.0,freelance,Master,Other,Large,2025,2
Spain,Madrid,Software Engineer,Technology,19,154900.0,full_time,High School,Male,Medium,2024,4
New Zealand,Auckland,Software Engineer,Technology,12,217862.0,freelance,Master,Other,Medium,2025,7
Sweden,Stockholm,HR Analyst,Human Resources,23,154074.0,internship,Bachelor,Female,Medium,2023,7
India,Bangalore,Software Engineer,Technology,20,144794.0,freelance,PhD,Female,Enterprise,2022,2
Netherlands,Amsterdam,AI Engineer,Technology,19,370000.0,work_from_home,Master,Male,Enterprise,2024,6
Singapore,Singapore,Software Engineer,Technology,3,219784.0,part_time,High School,Female,Large,2025,3
Singapore,Singapore,Operations Manager,Operations,24,329338.0,part_time,High School,Other,Enterprise,2024,10
New Zealand,Auckland,Cloud Engineer,Technology,0,130374.0,freelance,PhD,Female,Medium,2022,10
Canada,Toronto,Operations Manager,Operations,11,203459.0,internship,Bachelor,Female,Medium,2022,3
Brazil,Sao Paulo,Data Scientist,Technology,9,140240.0,work_from_home,High School,Other,Small,2025,9
Canada,Toronto,Data Analyst,Technology,14,181086.0,full_time,High School,Male,Large,2023,4
Australia,Sydney,Cloud Engineer,Technology,8,284109.0,full_time,Master,Female,Large,2024,3
United Kingdom,London,Product Manager,Technology,17,318226.0,internship,PhD,Female,Medium,2024,1
Japan,Tokyo,Data Scientist,Technology,13,263452.0,part_time,High School,Male,Large,2025,12
Spain,Madrid,AI Engineer,Technology,15,327237.0,freelance,PhD,Other,Large,2025,3
France,Paris,AI Engineer,Technology,12,362794.0,work_from_home,PhD,Other,Enterprise,2023,5
Spain,Madrid,Cloud Engineer,Technology,18,286531.0,full_time,PhD,Female,Small,2022,3
New Zealand,Auckland,Data Analyst,Technology,10,186696.0,internship,Master,Other,Large,2025,12
India,Bangalore,HR Analyst,Human Resources,20,78556.0,freelance,PhD,Female,Small,2025,4
Brazil,Sao Paulo,Product Manager,Technology,3,104341.0,internship,High School,Other,Small,2023,1
Australia,Sydney,Software Engineer,Technology,8,230464.0,part_time,Bachelor,Other,Medium,2023,6
Australia,Sydney,HR Analyst,Human Resources,10,187277.0,internship,PhD,Other,Small,2025,2
Brazil,Sao Paulo,Data Analyst,Technology,15,163519.0,freelance,PhD,Male,Enterprise,2024,2
Germany,Berlin,Business Analyst,Business,3,145219.0,full_time,Bachelor,Female,Small,2022,5
United Arab Emirates,Dubai,HR Analyst,Human Resources,12,153258.0,freelance,High School,Female,Enterprise,2024,12
United Arab Emirates,Dubai,Data Scientist,Technology,9,283339.0,freelance,Bachelor,Male,Enterprise,2022,3
New Zealand,Auckland,Marketing Specialist,Marketing,8,207730.0,full_time,Master,Female,Enterprise,2025,1
Mexico,Mexico City,AI Engineer,Technology,17,209318.0,work_from_home,PhD,Male,Enterprise,2023,1
Mexico,Mexico City,Software Engineer,Technology,6,168207.0,freelance,PhD,Female,Small,2025,3
India,Bangalore,UX Designer,Design,2,42618.0,work_from_home,Bachelor,Female,Small,2025,5
Singapore,Singapore,UX Designer,Design,23,309320.0,internship,Master,Other,Medium,2025,10
India,Bangalore,UX Designer,Design,18,57162.0,full_time,High School,Female,Medium,2022,11
United Kingdom,London,Data Scientist,Technology,6,251990.0,part_time,PhD,Female,Small,2025,5
India,Bangalore,Product Manager,Technology,11,114442.0,work_from_home,PhD,Male,Small,2025,2
Singapore,Singapore,Cloud Engineer,Technology,24,233806.0,part_time,Bachelor,Other,Small,2022,11
Brazil,Sao Paulo,Business Analyst,Business,11,151915.0,work_from_home,PhD,Other,Enterprise,2022,9
Netherlands,Amsterdam,Business Analyst,Business,18,280295.0,freelance,PhD,Other,Large,2022,6
Canada,Toronto,Financial Analyst,Finance,5,235046.0,work_from_home,Master,Female,Enterprise,2023,11
Netherlands,Amsterdam,UX Designer,Design,13,263305.0,part_time,PhD,Female,Medium,2025,2
Canada,Toronto,Cloud Engineer,Technology,9,211635.0,freelance,Bachelor,Other,Small,2022,7
United States,New York,Product Manager,Technology,2,203770.0,full_time,High School,Other,Medium,2022,8
Singapore,Singapore,AI Engineer,Technology,17,370000.0,work_from_home,Bachelor,Other,Large,2024,8
Australia,Sydney,Marketing Specialist,Marketing,9,202378.0,full_time,Bachelor,Female,Enterprise,2024,10
Germany,Berlin,Business Analyst,Business,7,190375.0,work_from_home,Bachelor,Other,Enterprise,2023,9
Spain,Madrid,Product Manager,Technology,22,153982.0,freelance,High School,Other,Small,2022,7
Australia,Sydney,Cloud Engineer,Technology,11,167094.0,full_time,Bachelor,Other,Small,2024,9
United States,New York,HR Analyst,Human Resources,13,166202.0,work_from_home,High School,Male,Medium,2024,2
United States,New York,Business Analyst,Business,16,359469.0,part_time,PhD,Male,Enterprise,2023,6
United Kingdom,London,UX Designer,Design,15,183024.0,work_from_home,High School,Other,Large,2023,1
Ireland,Dublin,UX Designer,Design,3,169178.0,full_time,PhD,Other,Large,2023,6
India,Bangalore,AI Engineer,Technology,23,128318.0,internship,High School,Female,Enterprise,2022,6
Mexico,Mexico City,Marketing Specialist,Marketing,6,95665.0,part_time,Bachelor,Male,Enterprise,2025,5
France,Paris,UX Designer,Design,25,332021.0,work_from_home,PhD,Female,Enterprise,2022,1
United Arab Emirates,Dubai,Financial Analyst,Finance,9,308381.0,internship,PhD,Other,Medium,2024,11
France,Paris,Product Manager,Technology,11,247242.0,freelance,High School,Other,Large,2025,1
Australia,Sydney,Software Engineer,Technology,24,337536.0,internship,PhD,Male,Large,2023,2
Germany,Berlin,Operations Manager,Operations,12,268230.0,full_time,Bachelor,Female,Medium,2022,8
United Kingdom,London,Software Engineer,Technology,15,182965.0,freelance,High School,Female,Medium,2025,2
Brazil,Sao Paulo,Data Scientist,Technology,7,137287.0,freelance,High School,Male,Enterprise,2022,7
Sweden,Stockholm,Data Analyst,Technology,6,174567.0,full_time,PhD,Female,Small,2022,10
Sweden,Stockholm,Marketing Specialist,Marketing,7,228039.0,freelance,PhD,Male,Enterprise,2023,10
Ireland,Dublin,Operations Manager,Operations,2,225179.0,internship,PhD,Female,Enterprise,2025,11
New Zealand,Auckland,UX Designer,Design,10,128847.0,internship,High School,Female,Medium,2023,11
India,Bangalore,Product Manager,Technology,0,46397.0,work_from_home,High School,Other,Medium,2025,11
India,Bangalore,Product Manager,Technology,11,79446.0,internship,Bachelor,Male,Small,2022,4
Sweden,Stockholm,Data Scientist,Technology,11,269847.0,internship,PhD,Female,Medium,2024,8
Brazil,Sao Paulo,Product Manager,Technology,10,136453.0,full_time,Bachelor,Female,Medium,2025,11
Australia,Sydney,Data Analyst,Technology,5,212326.0,freelance,High School,Female,Enterprise,2024,3
South Africa,Cape Town,Marketing Specialist,Marketing,6,78512.0,freelance,Bachelor,Female,Enterprise,2025,5
United States,New York,Marketing Specialist,Marketing,16,282418.0,part_time,Master,Other,Large,2024,3
South Africa,Cape Town,Product Manager,Technology,0,67745.0,part_time,Master,Male,Small,2023,10
United Arab Emirates,Dubai,Business Analyst,Business,3,171230.0,work_from_home,High School,Female,Enterprise,2024,9
Singapore,Singapore,HR Analyst,Human Resources,2,112751.0,internship,High School,Female,Small,2025,7
